customer_id,recency_days,frequency,monetary_value,average_order_value,last_purchase_date,cluster
12436,100,1,509.01,509.01,2011-09-01 12:09:00,2
12437,2,18,4951.41,275.0783333333333,2011-12-08 11:35:00,2
12438,14,2,2906.85,1453.425,2011-11-25 13:28:00,2
12441,367,1,173.55,173.55,2010-12-08 10:45:00,2
12442,3,1,172.06,172.06,2011-12-06 14:22:00,2
12444,21,5,5005.46,1001.092,2011-11-18 13:23:00,2
12445,22,1,133.4,133.4,2011-11-17 18:43:00,2
12446,58,1,1002.31,1002.31,2011-10-13 12:50:00,2
12447,243,1,476.49,476.49,2011-04-10 13:25:00,2
12448,44,1,449.45,449.45,2011-10-26 13:46:00,2
12449,22,4,4067.29,1016.8225,2011-11-17 13:46:00,2
12450,156,2,197.88,98.94,2011-07-06 14:41:00,2
12451,11,5,9035.52,1807.104,2011-11-29 08:40:00,2
12452,17,2,430.57,215.285,2011-11-23 10:28:00,2
12453,134,1,707.09,707.09,2011-07-28 14:08:00,2
12454,56,1,3528.34,3528.34,2011-10-14 17:13:00,2
12455,73,6,2466.86,411.1433333333334,2011-09-27 15:31:00,2
12456,44,3,3181.04,1060.3466666666666,2011-10-26 14:41:00,2
12457,66,7,2363.23,337.6042857142857,2011-10-04 13:13:00,2
12458,71,2,947.4,473.7,2011-09-29 15:25:00,2
12461,94,2,826.88,413.44,2011-09-06 16:57:00,2
12462,19,2,1189.59,594.795,2011-11-21 09:11:00,2
12463,53,4,1344.78,336.195,2011-10-17 13:44:00,2
12464,10,8,1212.05,151.50625,2011-11-29 13:33:00,2
12465,17,2,742.1899999999999,371.095,2011-11-22 16:34:00,2
12468,188,2,729.5400000000001,364.77,2011-06-05 11:36:00,2
12471,2,30,19824.05,660.8016666666666,2011-12-07 15:43:00,2
12472,32,7,6572.11,938.8728571428572,2011-11-07 14:01:00,2
12473,29,5,3938.55,787.7099999999999,2011-11-10 13:46:00,2
12474,17,18,7375.79,409.7661111111111,2011-11-22 14:39:00,2
12475,54,1,723.38,723.38,2011-10-17 10:10:00,2
12476,16,11,6816.42,619.6745454545454,2011-11-24 12:40:00,2
12477,23,6,13219.74,2203.29,2011-11-17 09:51:00,2
12478,4,1,680.99,680.99,2011-12-06 09:56:00,2
12479,11,1,527.2,527.2,2011-11-28 13:26:00,2
12480,28,4,3281.63,820.4075,2011-11-11 14:52:00,2
12481,23,10,5596.32,559.632,2011-11-17 08:29:00,2
12483,17,8,2484.98,310.6225,2011-11-22 17:02:00,2
12484,33,6,4541.72,756.9533333333334,2011-11-07 11:37:00,2
12488,10,3,1298.66,432.8866666666667,2011-11-30 08:50:00,2
12489,336,1,334.93,334.93,2011-01-07 13:13:00,2
12490,5,10,5417.93,541.793,2011-12-04 16:07:00,2
12491,39,1,460.4,460.4,2011-11-01 12:18:00,2
12492,63,2,263.21000000000004,131.60500000000002,2011-10-07 15:15:00,2
12493,166,2,433.74,216.87,2011-06-27 10:17:00,2
12494,16,7,1246.1,178.01428571428573,2011-11-24 09:34:00,2
12497,82,1,1043.1,1043.1,2011-09-19 12:29:00,2
12498,21,3,403.7000000000001,134.5666666666667,2011-11-18 12:53:00,2
12500,23,11,4257.82,387.07454545454544,2011-11-16 16:20:00,2
12501,337,1,2169.39,2169.39,2011-01-07 12:28:00,2
12502,96,5,3723.87,744.774,2011-09-05 11:52:00,2
12504,18,2,482.05,241.025,2011-11-21 16:02:00,2
12506,233,1,73.5,73.5,2011-04-21 08:54:00,2
12507,134,3,1304.81,434.93666666666667,2011-07-28 17:09:00,2
12508,26,2,398.27,199.135,2011-11-13 15:37:00,2
12509,284,1,176.5,176.5,2011-02-28 14:45:00,2
12510,143,2,982.57,491.285,2011-07-20 10:15:00,2
12512,66,2,138.03,69.015,2011-10-04 14:55:00,2
12513,113,1,612.29,612.29,2011-08-19 10:51:00,2
12514,267,1,1017.68,1017.68,2011-03-17 16:38:00,2
12515,353,1,383.7,383.7,2010-12-21 15:43:00,2
12516,78,2,1312.06,656.03,2011-09-23 09:13:00,2
12517,28,5,2502.84,500.568,2011-11-11 14:04:00,2
12518,1,5,2056.89,411.378,2011-12-09 10:13:00,2
12519,64,1,340.84,340.84,2011-10-07 09:26:00,2
12520,79,5,2634.26,526.8520000000001,2011-09-21 15:23:00,2
12521,143,1,599.68,599.68,2011-07-20 10:51:00,2
12522,39,2,192.72,96.36,2011-10-31 15:30:00,2
12523,19,11,1789.77,162.70636363636365,2011-11-20 12:55:00,2
12524,9,8,4485.72,560.715,2011-11-30 15:31:00,2
12526,1,3,1316.66,438.8866666666667,2011-12-09 12:09:00,2
12527,82,3,348.71000000000004,116.23666666666668,2011-09-19 11:55:00,2
12528,9,6,1933.48,322.24666666666667,2011-11-30 14:40:00,2
12530,60,4,1662.28,415.57,2011-10-11 12:34:00,2
12531,15,1,125.22,125.22,2011-11-25 11:12:00,2
12532,30,1,349.83000000000004,349.83000000000004,2011-11-09 13:47:00,2
12534,131,1,1089.18,1089.18,2011-08-01 10:26:00,2
12535,92,2,716.35,358.175,2011-09-09 08:48:00,2
12536,43,3,12601.830000000002,4200.610000000001,2011-10-27 14:20:00,2
12538,29,1,363.95,363.95,2011-11-10 17:16:00,2
12539,22,4,5568.35,1392.0875,2011-11-17 13:30:00,2
12540,20,17,13400.24,788.2494117647059,2011-11-20 11:31:00,2
12541,30,3,981.18,327.06,2011-11-10 10:40:00,2
12544,36,1,372.7,372.7,2011-11-03 16:15:00,2
12545,75,2,1000.39,500.195,2011-09-25 13:39:00,2
12546,47,2,1161.5,580.75,2011-10-24 12:09:00,2
12547,198,2,207.8,103.9,2011-05-26 12:38:00,2
12548,166,1,95.2,95.2,2011-06-26 15:35:00,2
12550,79,1,964.83,964.83,2011-09-21 14:35:00,2
12551,358,1,168.0,168.0,2010-12-17 11:23:00,2
12552,39,2,437.82,218.91,2011-11-01 10:02:00,2
12553,8,10,3692.28,369.228,2011-12-01 16:38:00,2
12556,50,2,603.71,301.855,2011-10-20 13:06:00,2
12557,16,5,11990.96,2398.192,2011-11-23 16:59:00,2
12558,8,1,269.96,269.96,2011-12-02 10:41:00,2
12559,311,2,561.71,280.855,2011-02-02 09:49:00,2
12560,5,3,2134.01,711.3366666666667,2011-12-04 13:54:00,2
12561,303,1,238.85,238.85,2011-02-10 11:39:00,2
12562,8,7,3781.74,540.2485714285715,2011-12-01 17:20:00,2
12564,261,1,456.9,456.9,2011-03-23 14:55:00,2
12565,289,1,145.92,145.92,2011-02-24 10:34:00,2
12566,86,1,351.65,351.65,2011-09-14 14:30:00,2
12567,23,10,9401.28,940.128,2011-11-17 11:02:00,2
12569,2,32,4124.69,128.8965625,2011-12-07 16:24:00,2
12571,40,2,519.61,259.805,2011-10-31 10:19:00,2
12572,9,2,1020.42,510.21,2011-12-01 09:20:00,2
12573,227,1,160.54000000000002,160.54000000000002,2011-04-26 15:52:00,2
12574,316,1,218.45,218.45,2011-01-28 09:20:00,2
12576,36,5,1315.83,263.166,2011-11-04 10:11:00,2
12577,35,3,657.8,219.26666666666665,2011-11-04 13:24:00,2
12578,21,2,2794.51,1397.255,2011-11-18 13:30:00,2
12579,78,1,440.42,440.42,2011-09-22 17:15:00,2
12580,247,1,415.7,415.7,2011-04-07 10:24:00,2
12581,40,1,197.71,197.71,2011-10-31 08:56:00,2
12582,239,2,511.36,255.68,2011-04-15 08:45:00,2
12583,3,15,7281.38,485.42533333333336,2011-12-07 08:07:00,2
12584,4,9,2338.15,259.7944444444445,2011-12-06 09:35:00,2
12585,234,2,2040.1,1020.05,2011-04-19 13:39:00,2
12586,17,1,196.94000000000003,196.94000000000003,2011-11-22 16:24:00,2
12587,8,1,144.0,144.0,2011-12-02 12:47:00,2
12588,39,1,214.9,214.9,2011-10-31 15:01:00,2
12589,29,2,646.68,323.34,2011-11-11 10:19:00,2
12590,211,2,9864.26,4932.13,2011-05-12 14:52:00,2
12591,317,1,452.85,452.85,2011-01-26 14:35:00,2
12592,92,2,437.6,218.8,2011-09-08 15:04:00,2
12593,109,3,418.1,139.36666666666665,2011-08-23 12:43:00,2
12594,38,10,3338.2200000000003,333.822,2011-11-02 12:20:00,2
12596,51,2,618.27,309.135,2011-10-19 13:02:00,2
12597,19,4,3811.22,952.805,2011-11-20 13:33:00,2
12598,10,8,3023.08,377.885,2011-11-30 12:18:00,2
12599,29,7,1032.58,147.51142857142855,2011-11-10 13:34:00,2
12600,29,10,2599.04,259.904,2011-11-11 10:29:00,2
12601,190,5,577.0600000000001,115.412,2011-06-03 10:17:00,2
12602,59,1,153.12,153.12,2011-10-12 11:22:00,2
12603,22,1,739.1999999999999,739.1999999999999,2011-11-18 10:42:00,2
12604,79,2,254.18,127.09,2011-09-21 14:08:00,2
12607,60,1,1579.51,1579.51,2011-10-10 16:06:00,2
12609,78,3,1126.85,375.6166666666666,2011-09-22 16:34:00,2
12610,23,5,2099.54,419.908,2011-11-17 09:34:00,2
12611,52,1,1193.32,1193.32,2011-10-18 13:12:00,2
12612,74,1,704.0400000000001,704.0400000000001,2011-09-26 15:35:00,2
12613,57,5,3344.38,668.876,2011-10-13 14:59:00,2
12614,278,1,315.6,315.6,2011-03-07 10:22:00,2
12615,2,4,2291.19,572.7975,2011-12-07 15:02:00,2
12616,95,2,713.3,356.65,2011-09-05 15:17:00,2
12617,29,1,355.53,355.53,2011-11-10 14:39:00,2
12618,22,1,177.31,177.31,2011-11-18 11:10:00,2
12619,16,9,3641.24,404.5822222222222,2011-11-23 14:52:00,2
12620,15,3,1339.41,446.47,2011-11-25 10:20:00,2
12621,2,20,13689.67,684.4835,2011-12-08 11:25:00,2
12622,232,1,180.1,180.1,2011-04-21 16:39:00,2
12623,276,1,305.1,305.1,2011-03-08 13:50:00,2
12624,106,2,641.13,320.565,2011-08-25 15:04:00,2
12625,212,2,2683.82,1341.91,2011-05-12 09:54:00,2
12626,23,9,6620.48,735.6088888888888,2011-11-16 16:06:00,2
12627,11,7,4478.53,639.79,2011-11-29 12:07:00,2
12628,4,3,786.46,262.15333333333336,2011-12-05 13:15:00,2
12630,10,2,1270.88,635.44,2011-11-30 10:48:00,2
12631,57,1,640.5,640.5,2011-10-13 13:53:00,2
12633,59,4,2163.98,540.995,2011-10-12 11:40:00,2
12635,90,2,1689.18,844.59,2011-09-11 11:04:00,2
12637,67,8,6021.9,752.7375,2011-10-03 13:46:00,2
12638,33,1,671.69,671.69,2011-11-06 13:11:00,2
12639,239,1,486.1,486.1,2011-04-15 12:48:00,2
12640,24,3,1174.58,391.5266666666666,2011-11-16 11:52:00,2
12641,115,1,185.9,185.9,2011-08-16 13:26:00,2
12642,25,3,1013.26,337.75333333333333,2011-11-14 15:03:00,2
12643,128,6,3344.64,557.4399999999999,2011-08-03 12:56:00,2
12644,130,1,477.91,477.91,2011-08-02 10:33:00,2
12645,34,4,1775.18,443.795,2011-11-06 12:38:00,2
12646,5,2,1346.97,673.485,2011-12-05 10:14:00,2
12647,22,12,3722.82,310.235,2011-11-17 12:56:00,2
12648,155,1,318.05,318.05,2011-07-08 11:55:00,2
12649,107,3,623.51,207.83666666666667,2011-08-24 14:41:00,2
12650,3,1,314.44,314.44,2011-12-06 16:34:00,2
12651,335,1,114.0,114.0,2011-01-09 12:46:00,2
12652,331,1,919.98,919.98,2011-01-12 15:00:00,2
12653,149,2,2209.85,1104.925,2011-07-14 10:41:00,2
12654,11,5,601.98,120.396,2011-11-29 10:10:00,2
12656,17,5,4051.17,810.234,2011-11-22 13:42:00,2
12657,11,4,1643.18,410.795,2011-11-28 15:47:00,2
12658,19,1,686.05,686.05,2011-11-21 10:22:00,2
12659,30,1,91.68,91.68,2011-11-10 11:53:00,2
12660,11,1,245.1,245.1,2011-11-28 13:26:00,2
12662,1,11,3849.78,349.98,2011-12-09 11:59:00,2
12664,8,9,4881.88,542.4311111111111,2011-12-01 17:07:00,2
12665,325,1,63.0,63.0,2011-01-19 08:34:00,2
12667,58,1,620.13,620.13,2011-10-12 17:00:00,2
12668,12,4,3807.15,951.7875,2011-11-28 10:56:00,2
12669,151,3,2744.03,914.6766666666666,2011-07-12 09:54:00,2
12670,10,5,2996.05,599.21,2011-11-29 15:23:00,2
12672,330,1,225.9,225.9,2011-01-14 09:20:00,2
12673,5,2,610.52,305.26,2011-12-04 13:55:00,2
12674,39,4,1970.6,492.65,2011-11-01 12:12:00,2
12676,25,6,1331.39,221.8983333333333,2011-11-15 12:25:00,2
12678,42,12,17628.46,1469.0383333333332,2011-10-28 13:04:00,2
12679,59,4,1113.02,278.255,2011-10-12 12:30:00,2
12680,1,4,862.81,215.7025,2011-12-09 12:50:00,2
12681,15,22,13787.54,626.7063636363637,2011-11-25 11:33:00,2
12682,4,31,12288.22,396.3941935483871,2011-12-06 10:00:00,2
12683,4,15,8476.57,565.1046666666666,2011-12-05 16:31:00,2
12684,8,7,2283.63,326.23285714285714,2011-12-02 09:53:00,2
12685,28,6,2863.08,477.18,2011-11-11 13:46:00,2
12686,372,1,89.14,89.14,2010-12-03 09:51:00,2
12688,114,1,4873.81,4873.81,2011-08-18 08:49:00,2
12689,26,2,1247.61,623.805,2011-11-14 08:31:00,2
12690,206,1,389.01,389.01,2011-05-18 09:09:00,2
12691,28,6,1035.8,172.63333333333333,2011-11-11 16:49:00,2
12693,127,4,855.91,213.9775,2011-08-04 17:51:00,2
12694,70,2,869.67,434.835,2011-09-30 13:06:00,2
12695,7,4,582.1,145.525,2011-12-02 13:22:00,2
12697,29,3,957.59,319.19666666666666,2011-11-11 08:47:00,2
12700,8,4,4939.99,1234.9975,2011-12-02 10:47:00,2
12701,80,2,797.71,398.855,2011-09-21 10:47:00,2
12702,20,1,219.0,219.0,2011-11-20 10:36:00,2
12703,71,1,283.55,283.55,2011-09-29 17:52:00,2
12704,7,8,2340.84,292.605,2011-12-02 13:15:00,2
12705,15,9,6868.29,763.1433333333333,2011-11-24 13:17:00,2
12707,292,1,603.42,603.42,2011-02-21 08:38:00,2
12708,30,10,2712.91,271.291,2011-11-10 09:52:00,2
12709,15,15,9736.52,649.1013333333334,2011-11-24 15:38:00,2
12710,97,3,1149.02,383.00666666666666,2011-09-04 12:00:00,2
12712,29,13,4396.13,338.1638461538462,2011-11-11 08:19:00,2
12713,1,1,848.55,848.55,2011-12-09 12:16:00,2
12714,9,5,4708.86,941.772,2011-11-30 15:43:00,2
12715,106,1,353.86,353.86,2011-08-25 15:22:00,2
12716,4,2,1053.49,526.745,2011-12-06 08:55:00,2
12717,151,2,1030.98,515.49,2011-07-11 14:47:00,2
12718,71,1,238.25,238.25,2011-09-29 16:38:00,2
12719,5,2,644.95,322.475,2011-12-04 13:45:00,2
12720,3,25,5781.73,231.2692,2011-12-07 08:03:00,2
12721,32,6,2656.13,442.6883333333333,2011-11-08 12:13:00,2
12722,85,4,997.63,249.4075,2011-09-15 14:50:00,2
12723,4,5,725.07,145.014,2011-12-06 10:19:00,2
12724,5,4,1031.41,257.8525,2011-12-04 16:02:00,2
12725,371,1,427.8,427.8,2010-12-03 15:45:00,2
12726,28,7,2609.1,372.7285714285714,2011-11-11 13:35:00,2
12727,11,7,3980.7,568.6714285714286,2011-11-29 11:46:00,2
12728,71,4,836.33,209.0825,2011-09-29 15:31:00,2
12729,114,1,453.01,453.01,2011-08-18 11:40:00,2
12731,24,12,18895.91,1574.6591666666666,2011-11-16 11:59:00,2
12732,180,1,236.26,236.26,2011-06-13 11:33:00,2
12733,234,1,383.95,383.95,2011-04-19 16:19:00,2
12734,353,1,110.4,110.4,2010-12-22 12:47:00,2
12735,315,2,779.5699999999999,389.785,2011-01-28 13:37:00,2
12736,333,1,234.0,234.0,2011-01-11 07:57:00,2
12738,372,1,155.35,155.35,2010-12-02 18:27:00,2
12739,78,2,1013.04,506.52,2011-09-22 13:00:00,2
12740,64,1,427.6,427.6,2011-10-07 10:44:00,2
12743,134,2,546.43,273.215,2011-07-28 16:21:00,2
12744,52,7,21279.29,3039.898571428572,2011-10-19 11:18:00,2
12747,2,11,4196.01,381.4554545454546,2011-12-07 14:34:00,2
12748,1,209,33719.73,161.3384210526316,2011-12-09 12:20:00,2
12749,4,5,4090.88,818.176,2011-12-06 09:56:00,2
12750,129,1,275.88,275.88,2011-08-03 09:13:00,2
12752,81,1,4366.78,4366.78,2011-09-19 13:32:00,2
12753,23,6,21429.39,3571.565,2011-11-17 10:52:00,2
12754,236,3,3010.74,1003.58,2011-04-18 09:00:00,2
12755,281,2,3811.95,1905.975,2011-03-04 12:42:00,2
12756,87,1,112.07999999999998,112.07999999999998,2011-09-14 09:31:00,2
12757,16,13,7857.1,604.3923076923077,2011-11-24 12:30:00,2
12758,117,2,2791.59,1395.795,2011-08-15 10:22:00,2
12759,52,3,1531.44,510.48,2011-10-18 14:49:00,2
12762,8,2,1898.52,949.26,2011-12-02 10:23:00,2
12763,138,2,494.08,247.04,2011-07-24 14:12:00,2
12764,317,1,1693.88,1693.88,2011-01-27 10:19:00,2
12766,4,7,6989.63,998.5185714285716,2011-12-06 08:46:00,2
12769,239,1,1143.6,1143.6,2011-04-15 10:25:00,2
12770,211,1,1351.45,1351.45,2011-05-13 09:33:00,2
12772,60,1,892.47,892.47,2011-10-11 09:19:00,2
12775,17,5,1386.04,277.208,2011-11-22 16:33:00,2
12778,20,6,822.23,137.03833333333333,2011-11-20 11:30:00,2
12779,38,8,3981.36,497.67,2011-11-02 11:43:00,2
12781,64,2,826.74,413.37,2011-10-07 10:37:00,2
12782,5,5,2330.92,466.184,2011-12-05 09:16:00,2
12783,2,6,2225.91,370.985,2011-12-07 15:56:00,2
12784,9,2,574.42,287.21,2011-11-30 15:38:00,2
12785,364,1,311.95,311.95,2010-12-10 13:48:00,2
12787,10,3,463.66,154.55333333333334,2011-11-30 08:44:00,2
12789,65,1,91.85,91.85,2011-10-05 13:34:00,2
12790,192,1,324.92,324.92,2011-05-31 14:14:00,2
12791,374,1,192.6,192.6,2010-12-01 11:27:00,2
12792,257,1,400.54,400.54,2011-03-28 11:36:00,2
12793,335,2,545.48,272.74,2011-01-09 12:12:00,2
12794,53,2,860.41,430.205,2011-10-17 14:54:00,2
12795,19,1,430.48,430.48,2011-11-21 10:27:00,2
12797,366,1,254.03,254.03,2010-12-09 10:55:00,2
12798,10,3,6977.04,2325.68,2011-11-29 15:52:00,2
12802,187,1,427.58,427.58,2011-06-06 09:36:00,2
12808,37,3,483.65,161.21666666666667,2011-11-03 10:05:00,2
12809,178,1,489.31,489.31,2011-06-15 10:51:00,2
12811,261,3,514.85,171.61666666666667,2011-03-24 09:42:00,2
12812,45,1,229.64,229.64,2011-10-26 09:54:00,2
12814,102,1,125.92,125.92,2011-08-30 12:11:00,2
12815,148,2,1063.46,531.73,2011-07-15 10:21:00,2
12816,96,2,572.2,286.1,2011-09-05 12:41:00,2
12817,281,1,166.04,166.04,2011-03-03 16:28:00,2
12818,262,1,1542.08,1542.08,2011-03-23 12:06:00,2
12820,3,4,942.34,235.585,2011-12-06 15:12:00,2
12821,214,1,92.72,92.72,2011-05-09 15:51:00,2
12822,71,2,948.88,474.44,2011-09-30 10:04:00,2
12823,75,5,1759.5,351.9,2011-09-26 07:35:00,2
12824,60,1,397.12,397.12,2011-10-11 12:49:00,2
12826,3,7,1474.72,210.67428571428573,2011-12-07 10:25:00,2
12827,6,3,430.15,143.38333333333335,2011-12-04 12:17:00,2
12828,3,6,1018.71,169.785,2011-12-07 08:45:00,2
12829,337,2,293.0,146.5,2011-01-07 11:13:00,2
12830,38,6,6814.64,1135.7733333333333,2011-11-02 11:54:00,2
12831,262,1,215.05,215.05,2011-03-22 13:02:00,2
12832,32,2,383.03,191.515,2011-11-07 13:30:00,2
12833,145,1,417.38,417.38,2011-07-17 13:46:00,2
12834,283,1,312.38,312.38,2011-03-02 09:49:00,2
12836,59,4,2612.86,653.215,2011-10-11 15:10:00,2
12837,173,1,134.1,134.1,2011-06-19 16:07:00,2
12838,34,2,683.13,341.565,2011-11-06 12:20:00,2
12839,3,14,5591.42,399.38714285714286,2011-12-07 12:33:00,2
12840,144,4,2726.77,681.6925,2011-07-19 09:29:00,2
12841,5,25,4022.35,160.894,2011-12-05 11:13:00,2
12842,70,2,1118.99,559.495,2011-09-30 15:33:00,2
12843,66,8,1702.26,212.7825,2011-10-05 12:09:00,2
12844,29,2,325.96000000000004,162.98000000000002,2011-11-10 13:31:00,2
12845,267,4,354.09,88.5225,2011-03-17 13:34:00,2
12847,22,1,871.54,871.54,2011-11-17 13:16:00,2
12849,31,2,1050.89,525.4449999999999,2011-11-08 13:41:00,2
12851,97,1,135.18,135.18,2011-09-04 12:41:00,2
12852,295,1,311.55,311.55,2011-02-18 08:47:00,2
12853,135,6,1957.1,326.18333333333334,2011-07-28 11:29:00,2
12854,79,3,1324.5,441.5,2011-09-22 12:15:00,2
12855,373,1,38.1,38.1,2010-12-02 09:37:00,2
12856,8,6,2179.93,363.32166666666666,2011-12-02 10:52:00,2
12857,211,2,1106.4,553.2,2011-05-13 10:20:00,2
12863,52,1,521.2,521.2,2011-10-18 14:15:00,2
12864,138,1,147.12,147.12,2011-07-24 13:03:00,2
12865,26,2,1568.23,784.115,2011-11-13 14:31:00,2
12866,283,1,559.12,559.12,2011-03-01 14:11:00,2
12867,26,7,4036.82,576.6885714285714,2011-11-13 15:30:00,2
12868,186,6,1607.0600000000002,267.84333333333336,2011-06-07 10:42:00,2
12871,84,2,380.64,190.32,2011-09-16 15:07:00,2
12872,327,2,599.97,299.985,2011-01-17 10:52:00,2
12873,282,1,374.0,374.0,2011-03-02 14:58:00,2
12875,143,2,343.2300000000001,171.61500000000004,2011-07-19 15:30:00,2
12876,58,2,2218.02,1109.01,2011-10-13 12:26:00,2
12877,4,12,1535.77,127.98083333333334,2011-12-06 10:30:00,2
12878,236,2,854.99,427.495,2011-04-17 13:07:00,2
12879,45,3,573.22,191.07333333333332,2011-10-26 12:24:00,2
12881,276,1,298.0,298.0,2011-03-09 11:44:00,2
12882,9,2,1463.04,731.52,2011-11-30 16:18:00,2
12883,25,4,703.47,175.8675,2011-11-15 09:32:00,2
12884,88,1,309.05,309.05,2011-09-12 13:10:00,2
12885,63,3,1175.22,391.74,2011-10-07 13:40:00,2
12886,68,2,1378.4,689.2,2011-10-03 10:09:00,2
12888,214,2,354.12,177.06,2011-05-09 16:02:00,2
12890,24,1,380.47,380.47,2011-11-15 17:26:00,2
12891,186,3,331.0,110.33333333333331,2011-06-07 12:31:00,2
12893,31,1,188.14,188.14,2011-11-09 12:34:00,2
12895,42,2,372.8,186.4,2011-10-28 13:51:00,2
12897,205,2,216.5,108.25,2011-05-19 12:13:00,2
12901,9,28,17654.54,630.5192857142857,2011-12-01 10:07:00,2
12902,265,1,138.68,138.68,2011-03-20 12:06:00,2
12904,18,2,509.58,254.79,2011-11-21 14:34:00,2
12906,12,5,2919.81,583.962,2011-11-28 09:55:00,2
12908,176,2,750.0,375.0,2011-06-16 15:39:00,2
12909,40,5,2178.67,435.734,2011-10-31 12:43:00,2
12910,23,8,3075.04,384.38,2011-11-16 14:28:00,2
